STATION,DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP,VISIB,WDSP
72434013994,1/1/00,34,0,999.9,61,28,9.9,0,1017.2,999.9,999.9,42.5,9.5,5.2
72434013994,1/2/00,48.3,0,28.9,68,53.6,15.9,0,1007.8,999.9,999.9,58.7,9.9,12.1
72434013994,1/3/00,38.3,110010,19,68,34,15,0,1008.5,999.9,999.9,41.2,4.7,7.4
72434013994,1/4/00,27.3,111000,23.9,43,24.8,19,0.52,1017.5,999.9,999.9,31.9,8.7,15.1
72434013994,1/5/00,17.1,1000,999.9,35.1,15.1,14,0,1027.8,999.9,999.9,24.9,9.4,8
72434013994,1/6/00,25.3,0,999.9,51.1,17.1,15,0,1024.2,999.9,999.9,37.6,9.9,8.1
72434013994,1/7/00,25,0,999.9,51.1,27,11.1,0,1030.3,999.9,999.9,37.6,9.9,5.1
72434013994,1/8/00,31.1,110000,999.9,46.9,29.1,10.1,0,1023.3,999.9,999.9,40.1,9.6,7.2
72434013994,1/9/00,42.3,110000,21,52,35.1,15.9,0.17,1010.4,999.9,999.9,45.3,8.2,7.1
72434013994,1/10/00,38.3,10000,28,59,41,18.1,0.02,1001,999.9,999.9,48.4,9.7,13.5
72434013994,1/11/00,21.4,0,34,59,35.1,22.9,0.01,1013.2,999.9,999.9,44.1,9.9,12.6
72434013994,1/12/00,26,0,999.9,57.9,28,15,0,1016.6,999.9,999.9,40.2,9.9,8.6
72434013994,1/13/00,26,0,23.9,57.9,28,17.1,0,1026.2,999.9,999.9,36.1,9.9,11.5
72434013994,1/14/00,18.8,0,999.9,41,17.1,13,0,1042.2,999.9,999.9,27.8,9.7,6.1
72434013994,1/15/00,26.7,0,28,63,19.2,20,0,1027.4,999.9,999.9,42.7,9.9,10.9
72434013994,1/16/00,35.4,0,16.9,63,29.1,14,0,1025.7,999.9,999.9,46.2,9.1,8.3
72434013994,1/17/00,25.9,110000,999.9,37,30.2,18.1,0,1030.5,999.9,999.9,32.6,8.3,12.8
72434013994,1/18/00,31.6,110000,999.9,36,30,8,0.21,1023.2,999.9,999.9,31.7,3.4,5.6
72434013994,1/19/00,32,111000,18.1,36,28,17.1,0,1017,999.9,999.9,32.5,4.1,6.6
72434013994,1/20/00,17,1000,32.1,39,14,26,0.01,1020,999.9,999.9,25.2,9.7,14.6
72434013994,1/21/00,11.1,0,999.9,39.9,12.9,8.9,0,1025.3,999.9,999.9,23.2,9.9,4.1
